Re,Im
-0.0007381612118,0
-3.876823181E-05,0.0009242886397
2.524730619E-05,-0.0001493144427
-0.0004265419214,-0.0002913124667
-0.0008725251239,-0.0001986177171
-0.001036914981,5.925524627E-05
-0.00140908408,8.176200272E-05
-0.001826094253,0.0003291221223
-0.002268930153,0.000646832643
-0.002700199842,0.0009606470346
-0.003236490608,0.001333049092
-0.003965449992,0.001718403804
-0.004942958963,0.002171298194
-0.00645034453,0.002864144107
-0.008716314326,0.003942847875
-0.01283576253,0.005931573169
-0.02170994181,0.01195990326
-0.03878359571,0.0497889982
0.05840740383,0.02763647595
0.02726981256,0.005558273375
0.01904317847,0.003666135196
0.01558628959,0.003197409941
0.01381393932,0.00296305966
0.01282472188,0.002832969946
0.01226893371,0.002635285282
0.01191673059,0.00249718061
0.01174093179,0.002299720641
0.01164348654,0.002085293796
0.01164832157,0.001870832951
0.01164772213,0.001626567201
0.01174427012,0.001341835195
0.01177019499,0.0009045235162
0.01150980664,0.0006731269915
0.01148272163,0.0006102208722
0.01156731651,0.0005193998625
0.01151028528,0.0003213101582
0.01173602458,0.0002067811952
0.01170390472,7.430745838E-05
0.01176361102,8.241539175E-05
0.01185245897,0.0001060592235
0.01204533082,0.0002142124307
0.01236289779,0.0003702846637
0.012757975,0.0003841838932
0.01314325373,0.0004015785561
0.01361276419,0.0004877852377
0.01413824374,0.000531459434
0.01471084134,0.0006046765178
0.01537496574,0.0006727369085
0.01613527422,0.0007823256353
0.01698454764,0.0008690090111
0.01808122989,0.0010649907
0.01948090867,0.001265540468
0.02151771954,0.0009246999482
0.02253373937,-9.149984438E-05
0.0239646134,6.895669719E-05
0.02593901707,-0.0002231195475
0.02806895782,-0.0007398207858
0.03052260887,-0.001359323924
0.0332498451,-0.002174313443
0.03644770861,-0.003098393342
0.0402651282,-0.004247891548
0.04498415872,-0.005727317256
0.05089186328,-0.007749098417
0.05851919616,-0.01057976063
0.06894520283,-0.01485306308
0.08377750352,-0.02237225498
